Opthamologist,blood in eyes
Opthamologist,blood from eyes
Opthamologist,eyes are bleeding
Opthamologist,obscure spot
Opthamologist,spot in eyes
Opthamologist,blindness
Opthamologist,lack of vision
Opthamologist,eyelids
Opthamologist,blurred vision
Opthamologist,brown colored round eye ball
Opthamologist,bulging eyes
Opthamologist,swollen eyes
Opthamologist,swollen eye
Opthamologist,swelling in eye
Opthamologist,swelling of eye
Opthamologist,swelling in eyes
Opthamologist,swelling of eyes
Opthamologist,change in eye capacity
Opthamologist,night blindness
Opthamologist,diminished eyesight at night
Opthamologist,mucus in the eyes
Opthamologist,mucus in eyes
Opthamologist,discharge from eyes
Opthamologist,scurry
Opthamologist,double vision
Opthamologist,dry eyes
Opthamologist,enlarged eye
Opthamologist,eye irritation
Opthamologist,irritation in the eyes
Opthamologist,blepharitis
Opthamologist,itching in eyes
Opthamologist,itching in eyes
Opthamologist,eye injury
Opthamologist,pain in eyes
Opthamologist,lump on eyelids
Opthamologist,partial loss of vision
Opthamologist,semolina
Opthamologist,red eyes
Opthamologist,red eye
Opthamologist,sunken eyes
Opthamologist,incapacitated eye
Opthamologist,ununiform pupil
Opthamologist,dilated pupil
Opthamologist,pupil
Opthamologist,scenic pathology
Opthamologist,dystopia
Opthamologist,wet eyes
Opthamologist,yellow eyes
Gynecologist,nipple bleeding
Gynecologist,bleeding nipples
Pulmonologist,breathing trouble
Pulmonologist,trouble breathing
Gynecologist,nipple discharge
Pulmonologist,suffocation
,problem swallowing
Pulmonologist,rapid breathing
Pulmonologist,hyperventilation
Pulmonologist,hyperventilating
Pulmonologist,irregular heartbeat
Pulmonologist,muscular spasms
Pulmonologist,spasms
Pulmonologist,snoring
Pulmonologist,numbness
Pulmonologist,restlessness
Pulmonologist,fast pulsation
Pulmonologist,fast pulse
Pulmonologist,rapid heart rate
Pulmonologist,shortness of breath
Pulmonologist,wheezing
Urologist,beryllium urine
Urologist,brown urine
Urologist,dark urine
Urologist,difficulty urinating
Urologist,difficulty in urinating
Urologist,frequent urination at night
Urologist,urinating
Sexologist,itching in private parts
Sexologist,burning in private parts
Urologist,sudden urination
Sexologist,swelling in groin
Sexologist,sweling in private parts
Sexologist,parasites 
Sexologist,visible insects
Parasitologist,germs
Parasitologist,insects
Urologist,blood in urine
Urologist,red urine
Urologist,decreased urine
Urologist,decrease in urine
Sexologist,sex discharge
Pulmonologist,scrofula
